symbol,ticker,obs,start,end,exponent_b,r2,exp_distance_to_btc,early_window_days,early_logpath_corr_vs_btc,early_logpath_rmse_vs_btc,latest_price,score
BTC,BTC-USD,4221,2014-09-17,2026-04-08,1.699819332052777,0.7819491029861183,0.0,730,1.0,0.0,71673.5546875,0.9018770963437532
LINK,LINK-USD,3072,2017-11-09,2026-04-08,1.197357265211584,0.6728413038401031,0.502462066841193,730,0.7650503260576705,1.3500387842497852,9.222227096557617,0.7036610424232228
OKB,OKB-USD,2535,2019-04-30,2026-04-08,1.0693012239825037,0.8089539734253626,0.6305181080702733,730,0.6073036485533274,1.3695066948174475,84.94185638427734,0.6992459629847215
LEO,LEO-USD,2514,2019-05-21,2026-04-08,0.6169885852122605,0.6590009663254126,1.0828307468405165,730,0.8070052578821926,0.5068662166629563,10.103270530700684,0.6750254398790972
SOL,SOL-USD,2189,2020-04-10,2026-04-08,1.3190689059674474,0.6767109266483873,0.3807504260853296,730,0.5945295248963613,3.478950087125952,84.8885269165039,0.6574540200569868
LTC,LTC-USD,4221,2014-09-17,2026-04-08,1.1350684405097808,0.6366142700732527,0.5647508915429962,730,0.6931116024259444,0.360174505396172,55.1144905090332,0.656881354595915
BNB,BNB-USD,3072,2017-11-09,2026-04-08,1.4612351732758284,0.7175785983124012,0.2385841587769486,730,0.38913659107587467,2.1787801762194867,617.811279296875,0.6205828717062454
WBT,WBT-USD,1321,2022-08-26,2026-04-08,0.6617707560952657,0.4865950610339762,1.0380485759575113,730,0.7554597240634129,0.6302839941844609,53.331111907958984,0.5815117687634862
HBAR,HBAR-USD,2395,2019-09-17,2026-04-08,0.37214657658600114,0.20979840225254398,1.327672755466776,730,0.7196572599858849,0.7710627341553707,0.09245376288890839,0.4322120529983936
CRO,CRO-USD,2672,2018-12-14,2026-04-08,0.3421213410244741,0.23741037310859903,1.357697991028303,730,0.4119222181565944,1.4400004426651805,0.07133478671312332,0.3358359510264092
M,M-USD,1387,2022-06-21,2026-04-08,-0.7863206672894523,0.557265182276228,2.486139999342229,730,0.04344071694771163,1.7694627826544345,0.0002699300821404904,0.32334362547802786
PAXG,PAXG-USD,2386,2019-09-26,2026-04-08,0.19334348689771272,0.41040929256377234,1.5064758451550644,730,0.10061057470430063,0.5372794662197755,4792.63134765625,0.2996911911564726
UNI,UNI-USD,2006,2019-10-21,2025-04-17,-0.7213990582218074,0.4508250481956434,2.4212183902745843,730,0.0999820678781319,2.602343489128328,0.0001630000042496249,0.2963237014340286
DOGE,DOGE-USD,3072,2017-11-09,2026-04-08,1.3585543868495453,0.5142958216587787,0.3412649452032317,730,-0.2624573038098199,1.2508366886000513,0.09438634663820267,0.2886860337588504
