rank,id,symbol,name,market_cap_usd,volume_24h_usd,price_usd,passes_liquidity,ticker,history_obs,passes_history
1,bitcoin,BTC,Bitcoin,1433519533563,56916166532.0,71533.0,True,BTC-USD,4221,True
2,ethereum,ETH,Ethereum,270176486633,23608064246.0,2235.62,True,ETH-USD,3072,True
3,tether,USDT,Tether,184122805563,87566504540.0,0.999851,True,USDT-USD,3072,True
4,binancecoin,BNB,BNB,84269772981,1271139351.0,617.82,True,BNB-USD,3072,True
5,ripple,XRP,XRP,84088267645,2803018384.0,1.37,True,XRP-USD,3072,True
6,usd-coin,USDC,USDC,77848914034,14228028128.0,0.999949,True,USDC-USD,2739,True
7,solana,SOL,Solana,48558999683,4838029242.0,84.65,True,SOL-USD,2189,True
8,tron,TRX,TRON,29872276526,460431464.0,0.315211,True,TRX-USD,3072,True
9,figure-heloc,FIGR_HELOC,Figure Heloc,17077325786,34607241.0,1.033,True,FIGR_HELOC-USD,0,False
10,dogecoin,DOGE,Dogecoin,14508813729,1524566613.0,0.094295,True,DOGE-USD,3072,True
11,usds,USDS,USDS,11492506032,74992027.0,0.999891,True,USDS-USD,1420,True
12,whitebit,WBT,WhiteBIT Coin,11384547747,106720975.0,53.34,True,WBT-USD,1321,True
13,cardano,ADA,Cardano,9651080550,596803632.0,0.261606,True,ADA-USD,3072,True
14,leo-token,LEO,LEO Token,9302915413,382721.0,10.1,False,LEO-USD,2514,True
15,hyperliquid,HYPE,Hyperliquid,9128016935,282346017.0,38.3,True,HYPE-USD,1324,True
16,bitcoin-cash,BCH,Bitcoin Cash,8874558060,209326664.0,443.31,True,BCH-USD,3072,True
17,chainlink,LINK,Chainlink,6710500767,521772831.0,9.23,True,LINK-USD,3072,True
18,monero,XMR,Monero,6306173078,107470867.0,341.56,True,XMR-USD,3072,True
19,ethena-usde,USDE,Ethena USDe,5830892445,311446652.0,1.001,True,USDE-USD,530,True
20,canton-network,CC,Canton,5571414652,9788924.0,0.145545,False,CC-USD,792,True
21,stellar,XLM,Stellar,5425929696,129058787.0,0.163954,True,XLM-USD,3072,True
22,zcash,ZEC,Zcash,5223148239,769019818.0,313.75,True,ZEC-USD,3072,True
23,memecore,M,MemeCore,4613580085,37328189.0,2.63,True,M-USD,1387,True
24,dai,DAI,Dai,4452613938,48483197.0,0.999763,True,DAI-USD,2329,True
25,usd1-wlfi,USD1,USD1,4410389992,1541242311.0,0.999842,True,USD1-USD,74,False
26,litecoin,LTC,Litecoin,4245738918,372500047.0,55.1,True,LTC-USD,4221,True
27,avalanche-2,AVAX,Avalanche,4046873637,596669414.0,9.37,True,AVAX-USD,2026,True
28,hedera-hashgraph,HBAR,Hedera,4020059569,88755833.0,0.092803,True,HBAR-USD,2395,True
29,paypal-usd,PYUSD,PayPal USD,3933450501,141619948.0,0.999969,True,PYUSD-USD,959,True
30,sui,SUI,Sui,3798275074,491066495.0,0.960659,True,SUI-USD,810,True
31,rain,RAIN,Rain,3620392165,19014507.0,0.00756728,True,RAIN-USD,1569,True
32,shiba-inu,SHIB,Shiba Inu,3588889512,142303811.0,6.09e-06,True,SHIB-USD,1818,True
33,bittensor,TAO,Bittensor,3213471783,543813370.0,334.83,True,TAO-USD,0,False
34,world-liberty-financial,WLFI,World Liberty Financial,3136000343,60049232.0,0.098748,True,WLFI-USD,1,False
35,the-open-network,TON,Toncoin,3077498486,90453605.0,1.24,True,TON-USD,2048,True
36,crypto-com-chain,CRO,Cronos,3026710171,10015571.0,0.0715,True,CRO-USD,2672,True
37,hashnote-usyc,USYC,Circle USYC,2681206931,224099.0,1.12,False,USYC-USD,0,False
38,tether-gold,XAUT,Tether Gold,2670314249,585499694.0,4767.66,True,XAUT-USD,2252,True
39,pax-gold,PAXG,PAX Gold,2464668302,365005036.0,4792.25,True,PAXG-USD,2386,True
40,blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,2348057869,0.0,1.0,False,BUIDL-USD,792,True
41,mantle,MNT,Mantle,2204155603,44583796.0,0.672396,True,MNT-USD,468,True
42,polkadot,DOT,Polkadot,2183497425,175991535.0,1.3,True,DOT-USD,2057,True
43,uniswap,UNI,Uniswap,2044326262,227643698.0,3.23,True,UNI-USD,2006,True
44,global-dollar,USDG,Global Dollar,1956820471,80027731.0,0.999991,True,USDG-USD,517,True
45,sky,SKY,Sky,1812549630,14165729.0,0.078263,True,SKY-USD,3072,True
46,okb,OKB,OKB,1784259229,16064375.0,84.96,True,OKB-USD,2535,True
47,falcon-finance,USDF,Falcon USD,1742731778,739839.0,0.998164,False,USDF-USD,2045,True
48,pi-network,PI,Pi Network,1726438911,18567384.0,0.170711,True,PI-USD,2503,True
49,aster-2,ASTER,Aster,1672555453,101426165.0,0.680145,True,ASTER-USD,265,False
50,near,NEAR,NEAR Protocol,1662931542,209169433.0,1.29,True,NEAR-USD,2002,True
51,htx-dao,HTX,HTX DAO,1596248543,18161142.0,1.74e-06,True,HTX-USD,805,True
52,pepe,PEPE,Pepe,1545125492,462055720.0,3.67e-06,True,PEPE-USD,119,False
53,usdd,USDD,USDD,1527789066,5715536.0,0.999733,False,USDD-USD,1437,True
54,aave,AAVE,Aave,1433474802,423745124.0,94.49,True,AAVE-USD,2014,True
55,ethereum-classic,ETC,Ethereum Classic,1375901271,66324418.0,8.8,True,ETC-USD,3072,True
56,internet-computer,ICP,Internet Computer,1347645947,53759110.0,2.45,True,ICP-USD,1794,True
57,ripple-usd,RLUSD,Ripple USD,1344688599,129069805.0,0.999811,True,RLUSD-USD,469,True
58,bfusd,BFUSD,BFUSD,1319076079,902182.0,0.9994,False,BFUSD-USD,233,False
59,ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,1316094114,2767443.0,1.13,False,USDY-USD,120,False
60,ondo-finance,ONDO,Ondo,1314427595,87220069.0,0.269959,True,ONDO-USD,811,True
61,bitget-token,BGB,Bitget Token,1301390542,32148703.0,1.86,True,BGB-USD,1714,True
62,janus-henderson-anemoy-treasury-fund,JTRSY,Janus Henderson Anemoy Treasury Fund,1241466548,0.0,1.099,False,JTRSY-USD,0,False
63,kucoin-shares,KCS,KuCoin,1142245044,3332625.0,8.47,False,KCS-USD,3072,True
64,gatechain-token,GT,Gate,1133103428,3953286.0,6.62,False,GT-USD,2417,True
65,quant-network,QNT,Quant,1092423178,16069705.0,75.15,True,QNT-USD,2798,True
66,pump-fun,PUMP,Pump.fun,1081045163,83434134.0,0.00182836,True,PUMP-USD,0,False
67,render-token,RENDER,Render,1064078385,108756781.0,2.05,True,RENDER-USD,2126,True
68,algorand,ALGO,Algorand,1051469470,91780087.0,0.118184,True,ALGO-USD,2483,True
69,polygon-ecosystem-token,POL,POL (ex-MATIC),979306942,57967253.0,0.092241,True,POL-USD,1181,True
70,morpho,MORPHO,Morpho,964378001,27112387.0,1.75,True,MORPHO-USD,90,False
71,eutbl,EUTBL,Spiko EU T-Bills Money Market Fund,921145404,0.0,1.22,False,EUTBL-USD,0,False
72,cosmos,ATOM,Cosmos Hub,900613441,59536566.0,1.8,True,ATOM-USD,2582,True
73,kaspa,KAS,Kaspa,898372960,31969524.0,0.03284598,True,KAS-USD,1407,True
74,nexo,NEXO,NEXO,872829825,9766709.0,0.872504,False,NEXO-USD,2898,True
75,usdtb,USDTB,USDtb,865545206,2486875.0,0.999101,False,USDTB-USD,131,False
76,worldcoin-wld,WLD,Worldcoin,859344057,119583899.0,0.264172,True,WLD-USD,1483,True
77,superstate-short-duration-us-government-securities-fund-ustb,USTB,Superstate Short Duration U.S. Government Securities Fund (USTB),808467285,0.0,11.04,False,USTB-USD,0,False
