obs,start,end,exponent_b,intercept_a,r2,latest_price,price_to_model,resid_q10_mult,resid_q50_mult,resid_q90_mult,symbol,ticker,rank,name,market_cap_usd,volume_24h_usd,exp_distance_to_btc,score
4221,2014-09-17,2026-04-08,1.6998193003197297,-3.384101660964949,0.7819491016506144,71664.0390625,1.4536068875983912,0.3079988028565563,0.9217953277435987,2.474034383974835,BTC,BTC-USD,1,Bitcoin,1433519533563.0,56916166532.0,0.0,0.8909745508253071
3072,2017-11-09,2026-04-08,1.461235581334028,-5.500733498005876,0.7175786733178453,618.5775756835938,1.2144745423843786,0.2360380053991294,1.2364396115898995,2.519939411283795,BNB,BNB-USD,4,BNB,84269772981.0,1271139351.0,0.23858371898570163,0.7830853293230595
1407,2022-06-01,2026-04-08,1.3978407050440633,-12.03418008133165,0.7541426319168367,0.03287151828408241,0.21998047052246825,0.3294974706302325,1.0043237546151236,2.636817521850533,KAS,KAS-USD,73,Kaspa,898372960.0,31969524.0,0.3019785952756664,0.7575845742276716
2798,2018-08-10,2026-04-08,1.382647685511168,-6.013493739748031,0.7633093045497139,75.24710083007812,0.5276438872173761,0.38687892074427405,0.9925102335498291,2.449783654063505,QNT,QNT-USD,65,Quant,1092423178.0,16069705.0,0.3171716148085617,0.7535355647972706
2189,2020-04-10,2026-04-08,1.319068372989203,-5.090218038761145,0.676710577154439,84.79096984863281,0.5407427017789316,0.29487753267813727,1.1085628492634356,2.8626370123332103,SOL,SOL-USD,7,Solana,48558999683.0,4838029242.0,0.38075092733052673,0.7493217335108582
2535,2019-04-30,2026-04-08,1.0693012341404857,-4.290508099390453,0.808953972268425,84.94401550292969,1.4210159147044044,0.5461919071118206,0.9965800503704897,1.688311026963263,OKB,OKB-USD,46,OKB,1784259229.0,16064375.0,0.630518066179244,0.7325848649978424
3072,2017-11-09,2026-04-08,1.197357454906838,-6.698727721046214,0.672841456894613,9.227542877197266,0.4995934905359121,0.3094745570076039,0.8785847351188889,3.47153139846633,LINK,LINK-USD,17,Chainlink,6710500767.0,521772831.0,0.5024618454128917,0.7104426494815171
1714,2021-07-29,2026-04-08,1.2008037495374655,-8.155590560499922,0.711023071046013,1.8596277236938477,0.8471136374601439,0.43674777807282444,0.8244112826127097,2.7540300581472503,BGB,BGB-USD,61,Bitget Token,1301390542.0,32148703.0,0.49901555078226423,0.7057861510219658
1483,2022-03-03,2026-04-08,1.7216987188892638,-12.136152500983318,0.47497958663597273,0.26403799653053284,0.17083656649835344,0.05677349397215649,1.0705572808670527,8.835290594290964,WLD,WLD-USD,76,Worldcoin,859344057.0,119583899.0,0.021879418569534126,0.6926199598087869
4221,2014-09-17,2026-04-08,1.1350684615177218,-4.671108722873822,0.6366142891536156,55.11933517456055,0.45169583625569043,0.309521829473032,0.9053500342362631,2.873182030989271,LTC,LTC-USD,26,Litecoin,4245738918.0,372500047.0,0.5647508388020079,0.6814534860207366
3072,2017-11-09,2026-04-08,1.3585543692568824,-13.041089659132782,0.5142958140347528,0.09438130259513855,0.7956240817363819,0.1256651787294712,1.205632098044655,4.977555427686882,DOGE,DOGE-USD,10,Dogecoin,14508813729.0,1524566613.0,0.3412649310628473,0.6644802929954082
2126,2020-06-11,2026-04-08,1.0209357314877265,-6.392264601642277,0.6245340234639443,2.0521438121795654,0.4910263571632558,0.3320108427848586,0.9960509342477442,2.8383344198258715,RENDER,RENDER-USD,67,Render,1064078385.0,108756781.0,0.6788835688320032,0.6516863144705272
1311,2021-11-20,2025-06-24,-1.7168801871237938,3.8405992202026074,0.8277807015334087,0.00013099999341648072,0.6336807553757764,0.2580816852394265,1.1603317658215566,2.2860348975944356,APT,APT-USD,83,Aptos,687367688.0,65602169.0,3.4166994874435233,0.6381527384227044
517,2024-11-06,2026-04-08,0.5442505562448986,-1.433684283019864,0.6720438127899189,5.999579906463623,0.8393503529701195,0.6021152383759704,1.0064734436820335,1.5346353156459713,USDG,USDG-USD,44,Global Dollar,1956820471.0,80027731.0,1.1555687440748312,0.633261122786014
